headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
"As the Iraq War Goes On, Afghan Violence Increases",Pattern of recent violence and arrests by American forces in southern Afghanistan suggests both that Taliban loyalists are newly active and that they have had help from local officials who are supposedly loyal to Pres Hamid Karzai; map shows where two American soldiers were killed in ambush last month in Sangeen (M),Foreign Desk,"SANGEEN (AFGHANISTAN), AFGHANISTAN",959,"It was a good place for an ambush, a natural parapet sticking up from a riverbed within easy firing range of the road, and a warren of gullies providing cover for the getaway. The men who fired on United States Special Forces, killing two instantly...",The New York Times,"UNITED STATES INTERNATIONAL RELATIONS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/15/world/a-nation-at-war-the-taliban-as-the-iraq-war-goes-on-afghan-violence-increases.html,World; Washington,4/15/2003,News,4fd242938eb7c8105d7db9bd
"Free to Protest, Iraqis Complain About the U.S.","Iraqis are exercising their new right to complain, which was denied them during Pres Saddam Hussein's rule, and are directing those complaints against Americans; blame Americans for looting and ongoing lack of everything from electricity to firm sense of order, and they say they do not want long-term US military occupation; there is no sense that complaints are degenerating into violence or unwillingness to cooperate with Americans; right to complain is accompanied by other rights long suppressed under Hussein, particularly rights of Shiites, who are increasingly active, some demanding Islamic state and providing civilian militias to keep order; photos; map (M)",Foreign Desk,IRAQ,1268,Protests against the American forces here are rising by the day as Iraqis exercise their new right to complain -- something that often landed them in prison or worse during President Saddam Hussein's rule.     But no one here is in the mood to note...,The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, BLACKOUTS AND BROWNOUTS (ELECTRICAL), FREEDOM OF SPEECH AND EXPRESSION, SHIITE MUSLIMS, ELECTRIC LIGHT AND POWER, ISLAM, LOOTING, FREEDOM AND HUMAN RIGHTS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/16/world/a-nation-at-war-baghdad-free-to-protest-iraqis-complain-about-the-us.html,World; Front Page; Washington,4/16/2003,News,4fd23eb98eb7c8105d7d5551
Flawed Khmer Rouge Trial Better Than None,"Human rights groups oppose terms of agreement between Cambodia and United Nations setting up international tribunal to try top leaders of Khmer Rouge responsible for deaths of 1.7 million people from 1976 to 1979; say UN has effectively ceded control of proceedings to local judges; some also object that trial will be limited to top Khmer Rouge leaders and 'those who were most responsible,' effectively granting amnesty for lower ranking killers; others say potentially flawed trial is better than no trial at all; photo (M)",Foreign Desk,CAMBODIA,860,"It seems straightforward enough. Some of the worst mass killers of our times are living freely now in Cambodia, playing with their grandchildren and tending their flower gardens. They should be put on trial.     Last month, after six years of...",The New York Times,"WAR CRIMES AND CRIMINALS, AMNESTIES AND PARDONS",http://www.nytimes.com/2003/04/16/world/letter-from-asia-flawed-khmer-rouge-trial-better-than-none.html,World,4/16/2003,News,4fd2428d8eb7c8105d7db560
'85 Hijacker Is Captured In Baghdad,"American Special Forces in Baghdad capture Abu Abbas, leader of Palestinian terrorist group responsible for 1985 attack on Italian cruise ship Achille Lauro; Abbas led faction of Palestine Liberation Front in 1980's and 1990's and has been living unhindered in Baghdad since leaving his home in Gaza Strip in 2000; is first major terrorist figure found in Iraq by US forces since fall of Saddam Hussein's government; American officials say they have not made connection between his Palestinian group and Al Qaeda and have no evidence to tie him to terrorist acts in recent years; Abbas faces life sentence in Italy in connection with Achille Lauro hijacking and death of Leon Klinghoffer, American passenger who was pushed overboard in his wheelchair; Abbas's organization later began series of attacks against Israeli targets, but he subsequently renounced terrorism and was given amnesty by Israel in 1996 following Oslo accords; prior to US war in Iraq, Abbas publicly denounced Sept 11 attacks and Osama bin Laden, and asserted that Palestinian cause was completely separate from fanatical terrorism of Al Qaeda; in separate intelligence-related development, Central Intelligence Agency officials say their analysts believe that Saddam Hussein's government collapsed so rapidly because top aides were convinced that he was dead; Abbas photo (M)",Foreign Desk,"NEW YORK CITY, ITALY, IRAQ, BAGHDAD (IRAQ), ISRAEL, WASHINGTON (DC), GAZA STRIP",1341,"American forces in Baghdad today captured the leader of a Palestinian terrorist group responsible for the attack in 1985 on an Italian cruise ship, the Achille Lauro, in which an American was killed.    The terrorist leader, Abu Abbas, led a faction...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, SHIPS AND SHIPPING, WORLD TRADE CENTER (NYC), AIRLINES AND AIRPLANES, UNITED STATES INTERNATIONAL RELATIONS, PALESTINIANS, HIJACKING, ACHILLE LAURO (SHIP), AMNESTIES AND PARDONS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/16/world/a-nation-at-war-prisoners-85-hijacker-is-captured-in-baghdad.html,World; Washington,4/16/2003,News,4fd277678eb7c8105d838b0a
Curators Appeal for a Ban On Purchase of Iraqi Artifacts,"Museum officials and archaeologists call for worldwide moratorium on purchase of Iraqi antiquities and appeal to American government to take stronger steps to prevent further pillaging in Baghdad; array of proposals for saving and retrieving Iraq's artifacts of ancient Mesopotamian culture will be considered at upcoming meetings of Unesco, United Nations' cultural arm (M)",Foreign Desk,IRAQ,593,The world's museum officials and archaeologists appealed to the American government yesterday to take stronger steps to prevent further pillaging in Baghdad and called for a moratorium on the purchase of Iraqi antiquities on the international market....,The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, ARCHAEOLOGY AND ANTHROPOLOGY, UNITED STATES INTERNATIONAL RELATIONS, MESOPOTAMIAN CIVILIZATION, MUSEUMS, ART, LOOTING, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/16/world/nation-war-antiquities-curators-appeal-for-ban-purchase-iraqi-artifacts.html,Science; World; Washington,4/16/2003,News,4fd227048eb7c8105d7af520
A Job for Unesco,"Op-Ed article by William J vanden Heuvel says meeting by Unesco is good start toward repairing damage done to Iraq's treasures, but it is only a start; says United States should ask Sec Gen Kofi Annan to give Unesco temporary responsibility for historic sites and museums of Iraq, and United Nations should also convene meeting of donor nations to establish fund to deal with crisis; says art restoration experts should be sent to Iraq immediately, and amnesty on criminal charges should be announced to allow return of looted property; photo (M)",Editorial Desk,"IRAQ, BAGHDAD (IRAQ)",257,"How do we repair the damage done? The meeting to be convened today by Unesco, the United Nations' cultural arm, is a good start. But it is only a start. The United States should ask the secretary general to give Unesco temporary responsibility for...",The New York Times,"ATOMIC WEAPONS, ARCHAEOLOGY AND ANTHROPOLOGY, BIOLOGICAL AND CHEMICAL WARFARE, HISTORIC BUILDINGS AND SITES, RESTORATION AND REHABILITATION, HISTORY, MUSEUMS, AMNESTIES AND PARDONS, UNITED STATES ARMAMENT AND DEFENSE, UNITED STATES INTERNATIONAL RELATIONS, ART, TERRORISM, LOOTING",http://www.nytimes.com/2003/04/17/opinion/a-job-for-unesco.html,Opinion,4/17/2003,Op-Ed,4fd23fcd8eb7c8105d7d7318
U.S. Considers Indicting Terrorist Arrested in Iraq On Achille Lauro Murder,"Bush administration is exploring ways of bringing charges against Palestinian terrorist Abu Abbas, who was captured in Iraq, withholding judgment about whether to turn him over to Italy and rejecting Palestinian demands for his release; he faces life sentence in Italy for his role in 1985 hijacking of Italian cruise ship Achille Lauro in which American passenger Leon Klinghoffer was killed; some American officials are leaning toward trying to indict Abbas in American courts and bringing him to US to face conspiracy charges; Klinghoffer's family and Anti-Defamation League want to see him tried in US; Palestine Liberation Organization officials say US has no legal right to hold him or extradite him to Italy, contending his detention violates 1995 peace agreement that ensured amnesty to PLO members for acts committed before Oslo accords of 1993 and 1995; US says Abbas's capture lends credence to argument that Saddam Hussein harbored terrorists; photo (M)",Foreign Desk,"ITALY, IRAQ, ISRAEL",954,"The Bush administration today explored ways of bringing charges against Abu Abbas, the Palestinian terrorist captured in Iraq, withholding judgment about whether to turn him over to Italy and rejecting Palestinian demands for his release.   ...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, SHIPS AND SHIPPING, EXTRADITION, UNITED STATES INTERNATIONAL RELATIONS, ACHILLE LAURO (SHIP), TERRORISM, CRUISES, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/17/world/nation-war-captured-palestinian-us-considers-indicting-terrorist-arrested-iraq.html,World; Washington,4/17/2003,News,4fd243318eb7c8105d7dcc12
"As War Ebbs, History, Hope and Fury","Book found at Baath Party headquarters in Qalat Sukkar, Iraq, contains names of every person who was arrested or vanished after Persian Gulf war of 1991, when Saddam Hussein, a Sunni Muslim, struck back viciously against Shiites of southern Iraq; book is divided into chapters: insurgents, deserters, exiles, Kurds, etc; it is record of local people hostile to regime, their family members, political sympathies, party affiliations, religion and arrest records; there are total of about 3,000 names; residents of town say at least 100 disappeared; Baath Party apparatus managed system of terror in town based on collaboration of neighbors and friends and family members; employment and children's schooling were withheld from those who refused to cooperate; Qalat Sukkar was dominated by secret police (M)",Foreign Desk,"IRAQ, QALAT SUKKAR (IRAQ)",1251,"This is a story of a book, the chronicle of the violence done to this city under Saddam Hussein.     The book consists of about 200 sheets of lined paper, hardbound with a childish jacket drawing of knights and dragons. It is filled with neat Arabic...",The New York Times,"SUNNI MOSLEMS, ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, LABOR, PERSIAN GULF WAR, MISSING PERSONS, SHIITE MUSLIMS, FREEDOM AND HUMAN RIGHTS, UNITED STATES ARMAMENT AND DEFENSE, UNITED STATES INTERNATIONAL RELATIONS, KURDS, EDUCATION AND SCHOOLS, TERRORISM",http://www.nytimes.com/2003/04/17/world/a-nation-at-war-the-history-as-war-ebbs-history-hope-and-fury.html,World; Front Page; Education; Washington,4/17/2003,News,4fd23fcd8eb7c8105d7d7312
Documents Show Urgent Iraqi Push to Recruit and Control Troops,"Documents found in Baath Party bureau in Zubayr show effort during summer of 2002 to mobilize cadres across country; efforts included emptying prisons in attempt to spark loyalty and recruit troops; party collected declarations from Iraqis professing willingness to make suicide attacks; documents represent important record of Baath Party culture and tactics it used to galvanize and control its security forces; what is impossible to convey in documents, however, is fear that existed between party leaders and soldiers whose lives, and lives of their families, depended on absolute obedience; documents illustrate patterns of coercion and redundancy showing conformity and discipline (M)",Foreign Desk,"IRAQ, ZUBAYR (IRAQ)",1190,"Eid Ali Abbas Jaafar, an Iraqi serviceman, vowed to give his life in ''a martyr mission against the American-Israeli enemies'' or anyone else who attacked ''this dearly beloved country.''    ''I will meet expectations by fighting a hero's battle,''...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, ARMAMENT, DEFENSE AND MILITARY FORCES, PRISONS AND PRISONERS, ARCHIVES AND RECORDS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/18/world/nation-war-baath-party-documents-show-urgent-iraqi-push-recruit-control-troops.html,World; Washington,4/18/2003,News,4fd22a038eb7c8105d7b3ee1
Iraqis Confront Memories in a Place of Torture,"Collapse of Saddam Hussein government and unmasking of intelligence and interrogation centers like Al Hakemiya in Baghdad is bringing out some of the thousands of formerly incarcerated Iraqis who want to confront their memories of degradation and torture; Al Hakemiya was apparently used as way station where suspects were worked over and squeezed for information, and sometimes cash, then moved to more permanent facilities; one former detainee describes being held for five months at center, where he was hung from ceiling by his arms and tortured with electric current after being arrested on what he says were trumped-up theft charges; photo (M)",Foreign Desk,IRAQ,1359,"Mr. al-Masawi, a 43-year-old jeweler, came back to the place of his torture.    He drove into the parking lot of Al Hakemiya, an Iraqi interrogation center in the capital here, stepped from his car and ran his hands along its walls. He went to the...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, PRISONS AND PRISONERS, POLITICAL PRISONERS, POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS, TERRORISM, AL HAKEMIYA (BAGHDAD), TORTURE, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/21/world/aftereffects-brutality-iraqis-confront-memories-in-a-place-of-torture.html,World; Front Page; Washington,4/21/2003,News,4fd2270e8eb7c8105d7afb7e
Inquiry Into a Deadly Venezuelan Rally Is Stalled,"Investigation into deaths of 18 people when gunfire erupted during April 11, 2002, antigovernment march in Caracas, Venezuela, appears to be in shambles; still, it is increasingly clear that gunfire came from both sides, as did victims; much of blame for lack of progress in bringing those responsible to justice is being placed on office of Atty Gen Isaias Rodriguez, who was once vice president and whose ties to Pres Hugo Chavez, some say, have compromised his independence; photo (M)",Foreign Desk,"VENEZUELA, CARACAS (VENEZUELA)",1105,"Within hours of his death on April 11, 2002, Jorge Tortoza became a martyr for the opponents of President Hugo Chíçvez. So did many of the other 18 people killed after gunfire erupted here during a sprawling antigovernment march, a confused explosion...",The New York Times,"POLITICS AND GOVERNMENT, DEMONSTRATIONS AND RIOTS",http://www.nytimes.com/2003/04/21/world/inquiry-into-a-deadly-venezuelan-rally-is-stalled.html,World,4/21/2003,News,4fd23ec18eb7c8105d7d5b95
Iraqis Tell of a Reign of Torture and Maiming,"Many victims of Saddam Hussein's regime are coming forward with stories of being maimed and tortured; describe network of Baath Party informers, intelligence service investigators, secret police operatives and Fedayeen Saddam, run by Hussein's eldest son Uday, who preyed on populace to snuff out dissent; many victims are Shiite Muslims, who presented constant potential threat to Hussein's secular but Sunni-dominated government; their missing body parts--eyes, ears, toenails and tongues--are visible legacy of reign of terror; photos (M)",Foreign Desk,IRAQ,1687,"In the Abu Chair neighborhood on the city's outskirts, Ali Kadhem Ghanem answers the door to his family's house with a sheepish smile. He is a handsome man of 29, until he turns his head to reveal the monstrous approximation of an ear, like something...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, POLITICS AND GOVERNMENT, INFORMERS, SHIITE MUSLIMS, TERRORISM, TORTURE, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/24/world/aftereffects-hussein-s-rule-iraqis-tell-of-a-reign-of-torture-and-maiming.html,World; Front Page; Washington,4/24/2003,News,4fd270d98eb7c8105d82cb19
Pull The Plug,"Bob Herbert Op-Ed column urges abolition of death penalty, citing death sentence imposed on Delma Banks Jr for murder of 16-year-old boy in Texas in 1980 in case that embodies many of important things that Herbert feels are wrong with death penalty in US: absence of good evidence of the condemned's guilt, irrefutable evidence of prosecutorial misconduct and racism that pervades capital cases; notes that 80 percent of more than 840 people put to death in US since 1976 were convicted of crimes involving white victims, compared with 13 percent who were convicted of killing blacks; notes that Supreme Court, in reviewing Banks case, will not address race issue",Editorial Desk,TEXAS,732,"Delma Banks Jr. had eaten his last meal and, in a controlled panic, was starting to count off the final 10 minutes of his life when word came last March 12 that his execution was being postponed because the Supreme Court might want to review his...",The New York Times,"MURDERS AND ATTEMPTED MURDERS, BLACKS, CAPITAL PUNISHMENT, CHILDREN AND YOUTH, DISCRIMINATION",http://www.nytimes.com/2003/04/24/opinion/pull-the-plug.html,Opinion,4/24/2003,Op-Ed,4fd28f638eb7c8105d866bdb
"Threat Gone, Iraqis Unearth Hussein's Nameless Victims","Families of political prisoners executed by Saddam Hussein's regime go to cemetery near Abu Ghraib prison to exhume remains from graves marked by numbers on metal plates; many people were executed merely because government considered them a threat; many were Shiite Muslims more active in their religion than Sunni-dominated government felt it could tolerate; thousands--maybe tens or hundreds of thousands--of Iraqis executed as political prisoners might have been unidentified forever, except that bureaucratically efficient Hussein government kept records of most everyone it killed; oldest graves in cemetery date to 1983, four years after Hussein took power; most recent are from six months ago, as threat of attack by United States rose; photos (L)",Foreign Desk,"IRAQ, ABU GHRAIB (IRAQ)",1258,"First the gravedigger found some teeth. ''Please, just barely scrape the sand,'' Adel Rahaif Hani, whose brother, Satter, was arrested as a political prisoner in 1995, begged the digger. ''I'm worried he's just below this layer.''     Mr. Hani came...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, SUNNI MOSLEMS, UNITED STATES INTERNATIONAL RELATIONS, POLITICAL PRISONERS, CAPITAL PUNISHMENT, IDENTIFICATION DEVICES, CEMETERIES, SHIITE MUSLIMS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/25/world/aftereffects-prison-graveyard-threat-gone-iraqis-unearth-hussein-s-nameless.html,World; Front Page; Washington,4/25/2003,News,4fd22b7f8eb7c8105d7b6ec7
"Illegal Aliens Can Be Held Indefinitely, Ashcroft Says",Atty Gen John Ashcroft rules that illegal aliens who have no known links to terrorist groups can be detained indefinitely to address national security concerns; rules in case of Haitian immigrant who had won right to be released on bail while awaiting decision on his asylum claim (M),National Desk,HAITI,665,Attorney General John Ashcroft has ruled that illegal immigrants who have no known links to terrorist groups can be detained indefinitely to address national security concerns.     Mr. Ashcroft was ruling in the case of a Haitian immigrant who had...,The New York Times,"ILLEGAL ALIENS, ASYLUM (POLITICAL), IMMIGRATION AND REFUGEES, TERRORISM",http://www.nytimes.com/2003/04/26/us/aftereffects-immigrants-illegal-aliens-can-be-held-indefinitely-ashcroft-says.html,U.S.,4/26/2003,News,4fd243318eb7c8105d7dcc49
"As Hussein Faded, Prisoners Were Executed","Saddam Hussein's dying government continued to execute suspected spies even as American troops neared huge prison at Abu Ghraib; Iraqis have almost never learned fate of loved ones executed in Hussein's 24 years as president; with Hussein gone, relatives descend on pit just outside prison, unearthing 14 bodies of recently killed prisoners; neighbors say they found 10 more corpses on prison grounds, also recently killed; personal stories told in two weeks since Hussein's fall reveal scale of torture and killing that may surpass predictions of even his worst critics; former inmates say last prisoners at Abu Ghraib were held as spies; thousands of other prisoners there were released in Oct in amnesty declared by Hussein as tensions between Iraq and US grew; photos of Iraqis, with faces covered against stench, digging up shallow graves of executed prisoners (M)",Foreign Desk,"IRAQ, ABU GHRAIB (IRAQ)",888,"They were killed perhaps three weeks ago, blindfolded, their hands bound behind their backs, then shot by a government that was itself about to die. Even as American troops neared the huge prison here, Iraq continued to execute suspected spies.    In...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, PRISONERS OF WAR, CAPITAL PUNISHMENT, POLITICS AND GOVERNMENT, AMNESTIES AND PARDONS, FREEDOM AND HUMAN RIGHTS, TERRORISM, TORTURE, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/04/28/world/aftereffects-the-graves-as-hussein-faded-prisoners-were-executed.html,World; Front Page; Washington,4/28/2003,News,4fd22a0d8eb7c8105d7b448c
Changing of the Guard,"In this lesson, students research case studies of U.S.-led regime changes around the world. They then examine the possible future democratization of Iraq through the historical lens of past experience.",,,2313,"In this lesson, students research case studies of U.S.-led regime changes around the world. They then examine the possible future democratization of Iraq through the historical lens of past experience.",The New York Times,,http://learning.blogs.nytimes.com/2003/04/28/changing-of-the-guard/,U.S.,4/28/2003,Blog,4fd363b38eb7c8105d8b25ce
"A Celebration of Joyce and Jogging: A 10K Odyssey, With Readings","Martin Hanley, actor and runner, creates 10-kilometer race throught Dedham, Mass, suburb of Boston, in honor of James Joyce; first James Joyce Ramble took place on March 26, 1984, with more than 200 people running in honor of Joyce; Hanley has added features to race: he has actors in period garb read Joyce at various places along 6.2-mile course through center of town; readings became signature of race, which now attracts more than 3,000 runners; photo (M)",The Arts/Cultural Desk,DEDHAM (MASS),929,"Taking on the works of James Joyce is akin to an endurance sport.    The reader warms up with some poems, slowly works up to ''A Portrait of the Artist as a Young Man'' and, when limber, tackles ''Ulysses'' or ''Finnegans Wake,'' two literary...",The New York Times,"RUNNING, BOOKS AND LITERATURE",http://www.nytimes.com/2003/04/30/books/a-celebration-of-joyce-and-jogging-a-10k-odyssey-with-readings.html,Arts; Books,4/30/2003,News,4fd2428e8eb7c8105d7db60b
Granting Power to Baathists A Concern for Iraqi Leader,"Ahmad Chalabi, Iraqi opposition leader favored by Pentagon, says he is concerned that United States appears ready to admit senior officials from Saddam Hussein's Baath Party in transitional government; Jay Garner, who heads transition office, has met with some director generals from Hussein's ministries, who by definition had to be members of Baath Party; has said membership in party would not in itself disqualify Iraqis from retaining their administrative jobs, but that close associates of Hussein and known violators of human rights would be barred; Americans are having difficulty bringing order to political vacuum that followed ouster of Hussein; situation is complicated by continuing uncertainty about whether he is alive; photo (M)",Foreign Desk,IRAQ,982,"Ahmad Chalabi, an Iraqi opposition leader favored by the Pentagon, says he has raised with President Bush's envoy to Iraq his concern that the United States appears ready to admit senior officials from Saddam Hussein's Baath Party in a transitional...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/05/01/world/aftereffects-opposition-granting-power-baathists-concern-for-iraqi-leader.html,World; Washington,5/1/2003,News,4fd270d28eb7c8105d82c4eb
"Michael Jendrzejczyk, 53, Advocate for Asians, Dies","Michel Jendrzejczyk, who worked at Human Rights Watch on behalf of dissidents in Asia, dies at age 53; photo (M)",National Desk,,699,"Michael Jendrzejczyk, a human rights expert whose advocacy on behalf of victims in Asian nations made him an unlikely power broker in Washington, died on Thursday. He was 53 and lived in Tacoma Park, Md.    He died after collapsing during a walk near...",The New York Times,"BIOGRAPHICAL INFORMATION, DEATHS (OBITUARIES)",http://www.nytimes.com/2003/05/04/us/michael-jendrzejczyk-53-advocate-for-asians-dies.html,U.S.; Obituaries,5/4/2003,Obituary; Biography,4fd242928eb7c8105d7db918
Three Leaders to Push Zimbabwe for Talks,"Presidents of three African nations will travel to Zimbabwe to push for talks between Pres Robert Mugabe's government and opposition leaders; South African Pres Thabo Mbeki, Nigerian Pres Olusegun Obasanjo and Malawi Pres BakiliMuluzi are expected to urge Mugabe to step aside and allow establishment of transition govnerment; outrage has mounted in their countries over reports of systematic human rights violations by Mugabe's government, including arrest and torture of hundreds of opposition supporters in Mar (M)",Foreign Desk,"MALAWI, ZIMBABWE, SOUTH AFRICA, NIGERIA",611,Presidents of three African nations are scheduled to travel to Zimbabwe on Monday to push for talks between the government of President Robert Mugabe and opposition leaders.    The meeting comes at a time when Zimbabwean society has been battered by...,The New York Times,"POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/2003/05/05/world/three-leaders-to-push-zimbabwe-for-talks.html,World,5/5/2003,News,4fd23ebd8eb7c8105d7d5863
Soccer Players Describe Torture by Hussein's Son,"Habib Jaafer, star midfielder of Iraqi national soccer team, says he was physically punished by Saddam Hussein's son Uday every time team failed to win; National Olympic Committee headquarters in Baghdad, building now in ruins, contains torture chambers in basement; poor passes could result in player's being punched or slapped in face by Uday; other players were beaten with electric cables; horrors that are tumbling out of American-ruled Iraq exceed worst that human rights organizations had chronicled in years before Hussein was toppled; role of Uday is likely to receive special attention; while Saddam Hussein murdered on mass scale as political tool, to create fear that discouraged challenges to his power, Uday apepars to have inflicted pain and death mostly for pleasure; photos (L)",Foreign Desk,IRAQ,1514,"It was little surprise that Habib Jaafer, star midfielder of the Iraqi national soccer team for the past 17 years, stiffened as he approached the National Olympic Committee.    He had come to point out the scenes of his humiliations by the man every...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, SOCCER, FREEDOM AND HUMAN RIGHTS, TERRORISM, TORTURE, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/05/06/world/aftereffects-reign-of-terror-soccer-players-describe-torture-by-hussein-s-son.html,World; Washington,5/6/2003,News,4fd23fcf8eb7c8105d7d74d6
NEWS SUMMARY,,Metropolitan Desk,,995,"INTERNATIONAL   A3-21    Steps Toward Forming Interim Iraq Government  The main Iraqi opposition groups agreed to help form a national assembly that would name an interim executive council or prime minister this month, and Jay Garner, the former...",The New York Times,,http://www.nytimes.com/2003/05/06/nyregion/news-summary-573361.html,New York and Region,5/6/2003,Summary,4fd22b848eb7c8105d7b7321
U.S. Says It Has Recovered Hundreds of Artifacts and Thousands of Manuscripts in Iraq,"American officials say teams of American investigaors searching in Iraq have recovered more than 700 artifacts and tens of thousands of ancient manuscripts that had been missing from collection of National Museum in Baghdad; say some were stored in underground vaults before American invasion; say finds include ancient jewelry, pottery and sarcophaguses; this supports view of Iraqi museum officials and Americans who said losses to museum were less severe than thought, despite looting (M)",Foreign Desk,"IRAQ, BAGHDAD (IRAQ)",800,"Teams of American investigators searching in Iraq have recovered more than 700 artifacts and tens of thousands of ancient manuscripts that had been missing from the collection of the National Museum in Baghdad, some of them stored in underground...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, ARCHAEOLOGY AND ANTHROPOLOGY, UNITED STATES INTERNATIONAL RELATIONS, TOMBS AND TOMBSTONES, MANUSCRIPTS, CERAMICS AND POTTERY, LOOTING, TERRORISM, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/05/08/world/aftereffects-antiquities-us-says-it-has-recovered-hundreds-artifacts-thousands.html,Science; World; Washington,5/8/2003,News,4fd28f668eb7c8105d866dfd
How Iraq Can Get Over Its Past,"Ian Buruma Op-Ed article sees evidence in Iraq of old truism that unscupulous operators spawned under dictatorships have knack of surviving wreckage and thriving under new regimes; warns that democracy depends on public trust in rule of law, which cannot happen if that law is administered by former Baath party torturers; says advantage of Saddam Hussein's swift fall is that no deals were made with old regime, but serious problem is absence of untainted uniting figures; recommends having UN help set up ad hoc institution to cleanse ranks of Baathists (M)",Editorial Desk,IRAQ,1098,"Unscrupulous operators, who thrive in dictatorships, have a disturbing knack of surviving the wreckage when dictators fall, and of thriving, just as unscrupulously, under new regimes. In Japan after 1945, right-wing gangsters and bureaucrats who had...",The New York Times,"ATOMIC WEAPONS, BIOLOGICAL AND CHEMICAL WARFARE, UNITED STATES INTERNATIONAL RELATIONS, POLITICS AND GOVERNMENT, TERRORISM, TORTURE, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/2003/05/09/opinion/how-iraq-can-get-over-its-past.html,Opinion,5/9/2003,Op-Ed,4fd2432e8eb7c8105d7dc9bd
The World; When Do-Gooders Don't Know What They're Doing,"Nigerian advocates of Amina Lawal, who faces death by stoning under Islamic law for adultery after having child out of wedlock, try to stop international e-mail campaign on her behalf, warning petition is inaccurate and may put her and them at risk from vigilantes and political backlash; case shows hazards of using modern global communications to enable people in developed world to pressure developing nations over range of issues, without understanding local situation; many Nigerians oppose ruling, case is still under appeal at state level and some sentences have been reversed in similar cases; photo (M)",Week in Review Desk,NIGERIA,929,"EVERY so often, tales of terrible suffering and injustice in faraway lands come tugging at the conscience of the world's privileged. Do something, these stories implicitly demand. Sign a petition or, these days, double-click on a mouse to save a...",The New York Times,"ELECTRONIC MAIL, ADULTERY, CAPITAL PUNISHMENT, SENTENCES (CRIMINAL), ISLAM",http://www.nytimes.com/2003/05/11/weekinreview/the-world-when-do-gooders-don-t-know-what-they-re-doing.html,Week in Review,5/11/2003,News,4fd243318eb7c8105d7dcc6e
